CLASS_2021;CLASS_2020;CNPJ;Razão Social;Sede;Faturamento Bruto em 2020 (R$);Nº de lojas;Nº de check-outs;Área de venda;Nº de funcionários;Fat._CKT_ 2020;Fat._M2_2020;Fat._Func._2020;Func._CKT_2020;Func._M2_2020;CKT_Loja_2020;M2_CKT_2020;M2_Loja_2020;Fat._Loja_ 2020;
848;893;96.173.695/0001-82;ARMAZÉM SOROCABA LTDA.;SP;1.200.000;1;1;60;5;1.200.000;20.000;240.000;5;8;1;60;60;1.200.000;
849;877;01.507.462/0001-62;MERCEARIA ESCARLETI LTDA.;RJ;1.200.000;1;2;200;4;600.000;6.000;300.000;2;2;2;100;200;1.200.000;
850;887;02.717.617/0001-58;MAURA DE LIMA HIRATA - EPP;SP;1.200.000;1;2;200;5;600.000;6.000;240.000;3;3;2;100;200;1.200.000;
851;novo;01.660.490/0001-15;A B C MERCEARIA ALMEIDA - ME;RJ;1.200.000;1;2;200;6;600.000;6.000;200.000;3;3;2;100;200;1.200.000;
852;895;03.204.527/0001-26;MINIMERCADO GUAMIRANGA LTDA. - ME;SC;1.179.727;1;2;200;3;589.864;5.899;393.242;2;2;2;100;200;1.179.727;
853;886;31.759.012/0001-28;GILBERTO CARLOS BUGE - ME;ES;1.098.750;1;2;350;9;549.375;3.139;122.083;5;3;2;175;350;1.098.750;
854;novo;33.629.810/0001-60;RODRIGO DE LACERDA PEREIRA;RS;1.020.000;1;1;150;2;1.020.000;6.800;510.000;2;1;1;150;150;1.020.000;
855;879;05.221.182/0001-44;J. C. CHEROBINI MINIMERCADO LTDA.;RS;1.000.000;1;2;120;4;500.000;8.333;250.000;2;3;2;60;120;1.000.000;
856;896;05.844.706/0001-53;JOSÉ DA SILVA SOUZA DE CASA NOVA E CIA. LTDA. - EPP;BA;1.000.000;1;2;200;6;500.000;5.000;166.667;3;3;2;100;200;1.000.000;
857;novo;15.062.939/0001-58;SCB DA CONCEICAO ACOUGUE MERCEARIA EIRELI ME;RJ;1.000.000;1;3;330;7;333.333;3.030;142.857;2;2;3;110;330;1.000.000;
858;novo;09.518.018/0001-54;COMERCIAL DE ALIMENTOS PORTELLA PIONER LTDA.;RS;1.000.000;2;2;255;5;500.000;3.922;200.000;3;2;1;128;128;500.000;
859;899;03.761.565/0001-80;G. A. FACINA SÃO JOSÉ DO RIO PRETO - ME;SP;1.000.000;3;8;700;20;125.000;1.429;50.000;3;3;3;88;233;333.333;
860;900;02.690.317/0001-22;RONALDO DA COSTA DOS SANTOS LTDA.;RS;990.000;1;2;220;4;495.000;4.500;247.500;2;2;2;110;220;990.000;
861;901;09.314.191/0001-30;JANTSCH & FILHO LTDA.;RS;980.000;1;2;200;3;490.000;4.900;326.667;2;2;2;100;200;980.000;
862;904;67.265.280/0001-30;RIBEIRO E MOREIRA MERCADINHO LTDA.;SP;910.000;1;5;650;35;182.000;1.400;26.000;7;5;5;130;650;910.000;
863;912;37.660.875/0001-20;COMERCIAL ALVES MIRANDA DE SECOS E MOLHADOS LTDA.;GO;907.895;1;2;350;3;453.948;2.594;302.632;2;1;2;175;350;907.895;
864;905;94.747.524/0001-94;COMERCIAL DE ALIMENTOS MENEGHINI LTDA.;RS;900.000;1;2;280;4;450.000;3.214;225.000;2;1;2;140;280;900.000;
865;906;49.573.702/0001-53;HIGASHI & UTIMURA LTDA.;SP;892.500;1;1;100;1;892.500;8.925;892.500;1;1;1;100;100;892.500;
866;924;04.604.915/0001-67;HELOISA INÊS HERTAL;PR;850.000;1;3;190;4;283.333;4.474;212.500;1;2;3;63;190;850.000;
867;902;43.251.396/0001-52;SUPERMERCADO TATUENSE LTDA.;SP;800.000;1;2;100;6;400.000;8.000;133.333;3;6;2;50;100;800.000;
868;novo;32.665.267/0001-94;A S CERQUEIRA SUPERMERCADO LTDA.;BA;800.000;1;2;120;22;400.000;6.667;36.364;11;18;2;60;120;800.000;
869;novo;00.369.338/0001-15;PALMA COMERCIAL DE ALIMENTOS LTDA.;MS;800.000;1;5;700;22;160.000;1.143;36.364;4;3;5;140;700;800.000;
870;novo;01.702.922/0001-03;ADEMIR DOS SANTOS BIOCA - ME;SC;750.000;1;2;150;3;375.000;5.000;250.000;2;2;2;75;150;750.000;
871;novo;10.323.915/0001-91;ORGANIZAÇÕES DIPOL LTDA. - ME;SC;750.000;1;8;500;35;93.750;1.500;21.429;4;7;8;63;500;750.000;
872;889;04.827.660/0001-00;SUPERMERCADO DALBOLLI LTDA.;RS;715.895;1;2;400;4;357.948;1.790;178.974;2;1;2;200;400;715.895;
873;894;03.031.883/0001-95;ANJOS E SOUTO LTDA. - ME;GO;700.000;1;2;160;30;350.000;4.375;23.333;15;19;2;80;160;700.000;
874;910;01.289.590/0001-87;TRÊS MARIAS SUPERMERCADO LTDA.;PR;678.015;1;5;500;18;135.603;1.356;37.668;4;4;5;100;500;678.015;
875;888;03.014.205/0001-14;ADRIANO DE OLIVEIRA MARQUES ARARAQUARA - ME;SP;650.000;1;2;400;5;325.000;1.625;130.000;3;1;2;200;400;650.000;
876;novo;02.384.264/0001-11;BRASIL PETROLEO LTDA.;PI;627.864;1;1;80;8;627.864;7.848;78.483;8;10;1;80;80;627.864;
877;909;01.023.373/0001-40;MERCEARIA PIANTINO LTDA.;GO;627.000;1;1;52;2;627.000;12.058;313.500;2;4;1;52;52;627.000;
878;913;78.924.693/0001-04;A. M. FERNANDES E CIA. LTDA.;PR;600.000;1;2;200;4;300.000;3.000;150.000;2;2;2;100;200;600.000;
879;916;19.838.168/0001-07;NORBERTO FERREIRA DE ALVARENGA - EPP;MG;600.000;1;4;600;20;150.000;1.000;30.000;5;3;4;150;600;600.000;
880;923;20.855.045/0001-55;SUPERMERCADO VARANDA LTDA.;MG;559.000;1;5;300;23;111.800;1.863;24.304;5;8;5;60;300;559.000;
881;novo;87.060.919/0001-59;LEANDRO DALLAGNESE & CIA. LTDA.;RS;540.000;1;1;250;1;540.000;2.160;540.000;1;0;1;250;250;540.000;
882;925;88.166.541/0001-35;PANIFÍCIO PASSO DAS PEDRAS LTDA.;RS;540.000;1;1;250;2;540.000;2.160;270.000;2;1;1;250;250;540.000;
883;921;00.721.922/0001-98;COMERCIAL GRANEM LTDA.;SC;505.606;1;2;200;2;252.803;2.528;252.803;1;1;2;100;200;505.606;
884;novo;01.973.063/0001-97;A TRAFIDLO & CIA. LTDA.;PR;500.000;1;1;60;2;500.000;8.333;250.000;2;3;1;60;60;500.000;
885;917;01.205.506/0001-08;COMERCIAL C. J. R OMETTO LTDA.;SP;480.000;1;3;300;2;160.000;1.600;240.000;1;1;3;100;300;480.000;
886;novo;58.020.439/0001-66;PEDRO SAGRADO BOGAZ - ME;SP;480.000;1;2;400;3;240.000;1.200;160.000;2;1;2;200;400;480.000;
887;919;86.242.385/0001-19;COMERCIAL MOSER LTDA.;SC;450.000;1;1;200;3;450.000;2.250;150.000;3;2;1;200;200;450.000;
888;922;25.313.834/0001-88;COMERCIAL ALESSANDRO LTDA. - ME;MG;438.102;1;1;200;3;438.102;2.191;146.034;3;2;1;200;200;438.102;
889;920;85.173.953/0001-04;VALMOR MANOEL COUTO - ME;SC;400.000;1;3;700;2;133.333;571;200.000;1;0;3;233;700;400.000;
890;918;03.005.655/0001-40;FÁBIO TELES DE SOUZA - ME;RS;380.000;1;2;100;3;190.000;3.800;126.667;2;3;2;50;100;380.000;
891;926;08.648.218/0001-69;MERCADO BAZZO E SCHEFFER S.A.;RS;360.000;1;1;80;4;360.000;4.500;90.000;4;5;1;80;80;360.000;
892;927;02.481.141/0001-07;ALVES & PEIXOTO LTDA.;GO;360.000;1;1;117;1;360.000;3.077;360.000;1;1;1;117;117;360.000;
893;929;09.084.753/0001-05;MINI MERCADO ANNA PAULA LTDA.;RS;327.433;1;1;200;3;327.433;1.637;109.144;3;2;1;200;200;327.433;
894;930;01.019.966/0001-33;V. DA SILVA MERCEARIA - ME;SP;302.289;1;1;80;1;302.289;3.779;302.289;1;1;1;80;80;302.289;
895;928;12.455.607/0001-45;IRACEMA DELL OSBEL CAMPIOL;RS;283.000;1;1;100;1;283.000;2.830;283.000;1;1;1;100;100;283.000;
896;932;25.969.676/0001-19;SEMI CHEDID - EPP;MG;240.000;1;2;200;2;120.000;1.200;120.000;1;1;2;100;200;240.000;
897;931;00.624.986/0001-70;J.SERVE BEM - EIRELI - EPP;SP;210.000;1;4;500;25;52.500;420;8.400;6;5;4;125;500;210.000;
898;novo;68.982.024/0001-27;SUPERMERCADO JEA LTDA.;SP;170.000;1;2;250;4;85.000;680;42.500;2;2;2;125;250;170.000;
899;novo;29.736.893/0001-10;QUI-MIX COMÉRCIO DE ALIMENTOS E PRODUTOS LTDA.;BA;160.000;1;1;100;6;160.000;1.600;26.667;6;6;1;100;100;160.000;
900;933;68.168.145/0001-30;SARGI & SARGI LTDA.;SP;155.836;1;3;200;10;51.945;779;15.584;3;5;3;67;200;155.836;
901;934;01.445.663/0001-82;MINI MERCADO IRMÃOS MELO LTDA - ME;SP;120.000;1;3;500;10;40.000;240;12.000;3;2;3;167;500;120.000;
902;935;01.591.872/0001-34;ELI DE OLIVEIRA ROCHA- ME;MG;100.000;1;1;100;1;100.000;1.000;100.000;1;1;1;100;100;100.000;
Total  902 Participantes;;;;;362.642.456.021;8.452;62.082;11.894.018;753.117;5.841.346;30.489;481.522;12;6;7;192;1.407;42.906.112;
;;;;; 2.295.931.236.331 ;;;;;;;;;;;;;;
Total  280 demais (300 maiores menos as 20 primeiras);;;;;109.316.744.142;4.403;35.608;3.964.151;301.502;3.070.005;27.576;362.574;8;8;8;111;900;24.827.787;
;;;;; 269.205.600.925 ; 0,117 ; 11,73 ;;;22.959.312.363;;;;;100;;;2.295.931.236.331;
