CLASS_2021;CLASS_2020;CNPJ;Razão Social;Sede;Faturamento Bruto em 2020 (R$);Nº de lojas;Nº de check-outs;Área de venda;Nº de funcionários;Fat._CKT_ 2020;Fat._M2_2020;Fat._Func._2020;Func._CKT_2020;Func._M2_2020;CKT_Loja_2020;M2_CKT_2020;M2_Loja_2020;Fat._Loja_ 2020;
174;182;97.320.451/0032-44;COOPERATIVA TRITÍCOLA SARANDI LTDA.;RS;181.949.298;16;90;11.956;459;2.021.659;15.218;396.404;5;4;6;133;747;11.371.831;
175;170;87.755.799/0001-04;TISCHLER & CIA LTDA.;RS;181.854.981;9;90;10.593;593;2.020.611;17.167;306.669;7;6;10;118;1.177;20.206.109;
176;180;47.253.745/0001-26;COOPERATIVA DE CONSUMO POPULAR DE CERQUILHO.;SP;181.398.298;5;60;6.800;510;3.023.305;26.676;355.683;9;8;12;113;1.360;36.279.660;
177;163;19.867.464/0001-28;L.S. GUARATO LTDA.;MG;180.710.000;1;30;4.950;355;6.023.667;36.507;509.042;12;7;30;165;4.950;180.710.000;
178;192;01.618.722/0001-77;UNIBOX DINARDELLI COMÉRCIO E DISTRIBUIÇÃO LTDA.;SC;178.909.066;4;32;4.527;229;5.590.908;39.520;781.262;7;5;8;141;1.132;44.727.267;
179;novo;05.678.702/0001-42;VENEZA SUPERMERCADO LTDA.;PE;178.634.726;9;40;7.500;729;4.465.868;23.818;245.041;18;10;4;188;833;19.848.303;
180;197;40.791.980/0001-02;J. L. DE MEDEIROS & ARAUJO LTDA.;RN;177.808.221;6;55;3.971;432;3.232.877;44.777;411.593;8;11;9;72;662;29.634.704;
181;189;87.558.037/0001-18;COMPANHIA APOLO DE SUPERMERCADOS.;RS;175.364.179;8;75;9.500;551;2.338.189;18.459;318.265;7;6;9;127;1.188;21.920.522;
182;187;13.436.092/0001-07;ITÃO SUPERMERCADO IMP. EXP. S.A.;BA;167.882.323;4;78;2.500;485;2.152.337;67.153;346.149;6;19;20;32;625;41.970.581;
183;novo;84.425.321/0001-28;RACHEL LOIOLA & CIA LTDA.;AP;167.807.547;4;44;5.600;582;3.813.808;29.966;288.329;13;10;11;127;1.400;41.951.887;
184;188;77.728.988/0001-34;ALMEIDA MERCADOS COM. DIST. E IMP. LTDA.;PR;164.553.614;8;62;6.175;400;2.654.091;26.648;411.384;6;6;8;100;772;20.569.202;
185;184;18.510.982/0007-12;SUPERMERCADO JB DE FRUTAL LTDA.;MG;163.566.567;10;76;6.644;569;2.152.192;24.619;287.463;7;9;8;87;664;16.356.657;
186;198;76.093.731/0001-90;COPACOL COOPERATIVA AGROINDUSTRIAL CONSOLATA.;PR;162.267.833;6;52;9.740;413;3.120.535;16.660;392.900;8;4;9;187;1.623;27.044.639;
187;185;93.429.173/0001-00;MILLER COMÉRCIO DE ALIMENTOS LTDA.;RS;161.294.721;4;45;8.300;501;3.584.327;19.433;321.946;11;6;11;184;2.075;40.323.680;
188;181;08.472.686/0001-25;CAMPOS PAVANI DE MACAÉ COMÉRCIO DE ALIMENTOS LTDA.;RJ;160.918.028;2;41;3.800;444;3.924.830;42.347;362.428;11;12;21;93;1.900;80.459.014;
189;202;88.455.589/0001-63;ZES SUPERMERCADOS LTDA.;RS;159.541.558;5;67;8.700;440;2.381.217;18.338;362.594;7;5;13;130;1.740;31.908.312;
190;195;08.335.717/0001-04;SUPERAÇO ALIMENTOS EIRELI.;MG;152.592.031;4;49;3.206;530;3.114.123;47.596;287.909;11;17;12;65;802;38.148.008;
191;254;08.769.595/0001-56;MAX CENTER CENTRO DE COMPRAS LTDA.;RS;149.890.602;3;36;4.000;320;4.163.628;37.473;468.408;9;8;12;111;1.333;49.963.534;
192;213;37.630.118/0001-03;CABRAL E MAIA LTDA.;GO;149.574.308;6;39;4.915;396;3.835.239;30.432;377.713;10;8;7;126;819;24.929.051;
193;246;54.255.906/0001-86;SUPERMERCADO JARDIM DOS CALEGARIS LTDA.;SP;147.629.762;3;46;7.000;520;3.209.343;21.090;283.903;11;7;15;152;2.333;49.209.921;
194;194;98.414.477/0001-18;SUPERMERCADO RISPOLI LTDA.;RS;146.326.291;1;29;3.500;367;5.045.734;41.808;398.709;13;10;29;121;3.500;146.326.291;
195;212;06.339.545/0001-03;COMERCIAL DE ALIMENTOS SAN GERARDO LTDA.;CE;146.235.719;7;76;7.700;656;1.924.154;18.992;222.920;9;9;11;101;1.100;20.890.817;
196;193;03.550.647/0004-28;JUBA SUPERMERCADOS LTDA.;MT;145.675.000;7;79;9.130;549;1.843.987;15.956;265.346;7;6;11;116;1.304;20.810.714;
197;230;27.555.390/0001-12;ORIUNDI SUPERMERCADOS LTDA.;ES;144.841.221;2;43;5.500;517;3.368.400;26.335;280.157;12;9;22;128;2.750;72.420.611;
198;199;75.394.189/0001-43;SUPERMERCADO NARDELLI LTDA.;SC;142.792.038;4;49;6.500;326;2.914.123;21.968;438.012;7;5;12;133;1.625;35.698.010;
199;271;03.073.056/0001-64;LOCATELLI SUPERMERCADOS E SERVIÇOS LTDA;ES;142.255.959;13;74;8.200;505;1.922.378;17.348;281.695;7;6;6;111;631;10.942.766;
200;novo;26.554.435/0001-71;L & G ALIMENTOS DO BRASIL LTDA.;AC;141.658.974;2;38;3.800;460;3.727.868;37.279;307.954;12;12;19;100;1.900;70.829.487;
Total  200 Maiores;;;;;342.117.664.583;7.098;53.216;10.857.301;692.002;6.428.850;31.510;494.388;13;6;7;204;1.530;48.199.164;
201;175;01.618.146/0001-68;CENTER SHOP. COMÉRCIO DE ALIMENTOS LTDA.;RS;141.366.386;10;76;4.916;580;1.860.084;28.756;243.735;8;12;8;65;492;14.136.639;
202;210;83.158.824/0001-11;COOPERATIVA REGIONAL AGROPECUÁRIA DE CAMPOS NOVOS.;SC;140.645.336;5;48;6.500;305;2.930.111;21.638;461.132;6;5;10;135;1.300;28.129.067;
203;316;23.637.077/0012-25;VILA SUL COMÉRCIO DE ALIMENTOS LTDA.;MG;139.950.081;2;27;4.600;243;5.183.336;30.424;575.926;9;5;14;170;2.300;69.975.041;
204;209;06.813.685/0001-71;J.CHAGAS ALIMENTOS LTDA.;MS;139.428.597;8;70;10.980;500;1.991.837;12.698;278.857;7;5;9;157;1.373;17.428.575;
205;204;08.618.647/0003-55;SUPERMERCADO CESTA DE ALIMENTOS LTDA.;AL;136.000.000;2;36;2.500;358;3.777.778;54.400;379.888;10;14;18;69;1.250;68.000.000;
206;206;83.573.212/0001-95;COOP. DE PRODUÇÃO E CONSUMO CONCÓRDIA.;SC;135.729.766;17;73;10.744;358;1.859.312;12.633;379.133;5;3;4;147;632;7.984.104;
207;201;04.963.836/0001-42;COMERCIAL 3 LETRAS LTDA.;RS;134.200.539;3;38;4.000;376;3.531.593;33.550;356.916;10;9;13;105;1.333;44.733.513;
208;259;07.013.199/0001-31;SUPERMERCADO E RESTAURANTE J.V.A. EIRELI.;SP;133.120.607;4;49;4.450;450;2.716.747;29.915;295.824;9;10;12;91;1.113;33.280.152;
209;200;01.936.465/0001-11;HIPPO SUPERMERCADOS LTDA.;SC;132.674.413;4;33;3.084;410;4.020.437;43.020;323.596;12;13;8;93;771;33.168.603;
210;228;83.814.814/0001-97;MONIARI SUPERMERCADOS LTDA.;SC;131.621.307;7;77;7.300;430;1.709.368;18.030;306.096;6;6;11;95;1.043;18.803.044;
211;196;90.958.489/0001-00;DARIO NEVES & CIA. LTDA.;RS;131.541.746;7;62;5.600;383;2.121.641;23.490;343.451;6;7;9;90;800;18.791.678;
212;203;03.521.220/0001-59;SUPER KAN LTDA.;RS;127.340.780;3;27;2.600;350;4.716.325;48.977;363.831;13;13;9;96;867;42.446.927;
213;218;07.222.185/0008-02;JORGE BATISTA & CIA. LTDA.;PI;126.245.875;3;50;8.500;362;2.524.918;14.852;348.746;7;4;17;170;2.833;42.081.958;
214;207;91.165.829/0001-08;SINDICATO DOS TRABALHADORES RURAIS DE LAJEADO.;RS;125.615.832;5;45;7.250;420;2.791.463;17.326;299.085;9;6;9;161;1.450;25.123.166;
215;227;61.325.700/0003-02;MUINO & CIA LTDA.;SP;125.299.948;3;47;5.840;275;2.665.956;21.455;455.636;6;5;16;124;1.947;41.766.649;
216;238;07.114.891/0001-56;SUPERMERCADO PAULISTA LTDA.- EPP.;MT;124.591.731;7;50;5.300;332;2.491.835;23.508;375.276;7;6;7;106;757;17.798.819;
217;222;98.338.072/0016-24;COOPERATIVA MISTA SÃO LUIZ LTDA.;RS;123.820.468;12;59;7.261;367;2.098.652;17.053;337.385;6;5;5;123;605;10.318.372;
218;220;21.911.839/0001-51;JARBAS CORREA FILHO E CIA LTDA.;MG;122.629.333;5;47;5.613;348;2.609.135;21.847;352.383;7;6;9;119;1.123;24.525.867;
219;226;00.134.974/0001-68;MERCADO DE ALIMENTOS CAMPOS LTDA.;SC;122.295.522;2;31;4.000;125;3.945.017;30.574;978.364;4;3;16;129;2.000;61.147.761;
220;217;90.964.172/0001-78;VIEZZER E CIA. LTDA.;RS;121.084.107;6;59;4.800;463;2.052.273;25.226;261.521;8;10;10;81;800;20.180.685;
221;248;01.377.961/0001-82;F. J. FEIJÓ DE ALBUQUERQUE.;CE;120.580.684;5;45;4.060;500;2.679.571;29.700;241.161;11;12;9;90;812;24.116.137;
222;215;45.291.341/0001-00;A. DAHER & CIA LTDA.;SP;119.907.000;6;44;4.915;366;2.725.159;24.396;327.615;8;7;7;112;819;19.984.500;
223;211;01.652.694/0001-04;COMERCIAL DE ALIMENTOS CAÍQUE LTDA.;DF;119.067.408;7;64;4.750;349;1.860.428;25.067;341.167;5;7;9;74;679;17.009.630;
224;233;01.274.396/0001-28;DAMASCENO & DAMASCENO LTDA.;MS;118.468.972;5;36;6.000;132;3.290.805;19.745;897.492;4;2;7;167;1.200;23.693.794;
225;231;00.240.681/0001-65;FRIOS VILHENA IMP. E EXP. LTDA.;AC;118.429.100;2;7;1.600;212;16.918.443;74.018;558.628;30;13;4;229;800;59.214.550;
226;216;88.910.294/0001-30;GUARAPARI COMÉRCIO DE GÊNEROS ALIMENTÍCIOS LTDA.;RS;115.000.000;4;40;2.900;370;2.875.000;39.655;310.811;9;13;10;73;725;28.750.000;
227;208;83.080.382/0001-38;CEREALISTA MARTENDAL LTDA.;SC;112.028.117;1;24;3.000;230;4.667.838;37.343;487.079;10;8;24;125;3.000;112.028.117;
228;224;88.695.366/0001-73;ROXO ATACADO E VAREJO LTDA.;RS;111.809.381;1;33;2.800;330;3.388.163;39.932;338.816;10;12;33;85;2.800;111.809.381;
229;225;01.616.495/0001-40;MALAGUTTI & MALAGUTI LTDA.;SP;110.372.677;6;37;5.830;348;2.983.045;18.932;317.163;9;6;6;158;972;18.395.446;
230;236;03.334.921/0001-89;BARBOSA E SOUZA COMÉRCIO DE ALIMENTOS LTDA.;PB;109.225.060;2;40;4.200;280;2.730.627;26.006;390.090;7;7;20;105;2.100;54.612.530;
231;219;52.397.650/0001-16;ARROZ ESTRELA LTDA.;SP;108.496.813;5;59;4.150;319;1.838.929;26.144;340.115;5;8;12;70;830;21.699.363;
232;223;38.616.553/0001-46;SUPERMERCADO DO IRMÃO LTDA.;MG;107.293.047;5;45;5.000;551;2.384.290;21.459;194.724;12;11;9;111;1.000;21.458.609;
233;234;90.049.701/0002-99;COOPERATIVA AGRÍCOLA CAIRU LTDA.;RS;105.454.559;2;25;4.600;202;4.218.182;22.925;522.052;8;4;13;184;2.300;52.727.280;
234;252;05.377.917/0001-23;SUPERMERCADO MÃE RAINHA LTDA.;CE;103.351.416;5;64;9.700;388;1.614.866;10.655;266.370;6;4;13;152;1.940;20.670.283;
235;249;91.495.549/0006-64;COTRIJAL COOPERATIVA AGROPECUÁRIA E INDUSTRIAL.;RS;103.308.378;10;58;7.041;275;1.781.179;14.672;375.667;5;4;6;121;704;10.330.838;
236;245;58.224.916/0001-05;IRMÃOS RUSCITO LTDA.;SP;102.485.272;3;36;4.900;320;2.846.813;20.915;320.266;9;7;12;136;1.633;34.161.757;
237;266;05.673.080/0001-60;JANAÍNA E GIOVANA LTDA.;GO;101.705.850;6;39;4.045;290;2.607.842;25.144;350.710;7;7;7;104;674;16.950.975;
238;214;70.973.037/0003-43;SUPERMERCADO BAIRRO ALTO IMPORTAÇÃO E EXPORTAÇÃO LTDA.;MG;100.836.005;10;70;8.230;405;1.440.514;12.252;248.978;6;5;7;118;823;10.083.601;
239;229;92.733.559/0001-49;SUPERMERCADO GECEPEL LTDA.;RS;100.450.302;5;43;5.800;330;2.336.054;17.319;304.395;8;6;9;135;1.160;20.090.060;
240;221;05.964.784/0002-72;CENTERMASTERSUL DISTRIBUIDORA DE ALIMENTOS LTDA.;RS;100.302.225;2;14;1.456;210;7.164.445;68.889;477.630;15;14;7;104;728;50.151.113;
241;414;08.781.394/0001-74;LISBOA SUPERMERCADO LTDA.;CE;100.000.000;3;30;2.700;320;3.333.333;37.037;312.500;11;12;10;90;900;33.333.333;
242;244;89.677.595/0001-28;COOPERATIVA TRITÍCOLA DE ESPUMOSO LTDA. - COTRIEL.;RS;98.961.198;9;44;4.434;392;2.249.118;22.319;252.452;9;9;5;101;493;10.995.689;
243;250;04.890.459/0001-69;M & B SORRISO SUPERMERCADO LTDA.;RS;97.155.470;5;40;3.250;295;2.428.887;29.894;329.341;7;9;8;81;650;19.431.094;
244;190;26.910.752/0001-83;LOPES VIANDELLI PRODUTOS ALIMENTÍCIOS LTDA.;GO;96.000.000;5;52;6.000;450;1.846.154;16.000;213.333;9;8;10;115;1.200;19.200.000;
245;253;02.774.118/0001-00;MANOEL FRANCISCO DOS SANTOS E FILHOS LTDA.;SC;95.355.122;5;52;5.100;350;1.833.752;18.697;272.443;7;7;10;98;1.020;19.071.024;
246;262;07.344.734/0001-37;G.G.F. COMÉRCIO DE GENEROS ALIMENTÍCIOS LTDA.;RS;95.062.242;4;39;3.280;278;2.437.493;28.982;341.951;7;8;10;84;820;23.765.561;
247;270;03.474.308/0001-67;GUASSO & GUASSO LTDA.;RS;93.811.013;10;59;7.900;340;1.590.017;11.875;275.915;6;4;6;134;790;9.381.101;
248;240;24.986.606/0005-30;CASTANHEIRA & CIA LTDA.;MG;93.487.953;2;38;5.200;427;2.460.209;17.978;218.941;11;8;19;137;2.600;46.743.977;
249;232;88.094.701/0024-74;COOPERATIVA TRITÍCOLA MISTA CAMPO NOVO LTDA.;RS;93.024.616;12;59;11.765;338;1.576.688;7.907;275.221;6;3;5;199;980;7.752.051;
250;novo;22.584.866/0001-20;ABRANCHES E MORAIS LTDA.;MG;92.714.507;2;20;1.880;333;4.635.725;49.316;278.422;17;18;10;94;940;46.357.254;
251;247;83.306.969/0001-12;SUPERMERCADO CIDADE LTDA.;PA;92.413.703;6;41;8.855;490;2.253.993;10.436;188.599;12;6;7;216;1.476;15.402.284;
252;273;12.505.448/0001-46;REDECOP S.A. INDÚSTRIA COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO.;RS;92.310.997;8;42;8.599;309;2.197.881;10.735;298.741;7;4;5;205;1.075;11.538.875;
253;251;08.330.367/0003-47;PADARIA E PASTELARIA BRASIL LTDA.;PB;90.866.417;2;23;4.318;177;3.950.714;21.044;513.370;8;4;12;188;2.159;45.433.209;
254;263;03.123.845/0001-62;MERCADO ALIANDES LTDA. - ME;SC;90.247.038;8;41;3.319;197;2.201.147;27.191;458.107;5;6;5;81;415;11.280.880;
255;241;23.805.419/0001-16;SUPERMERCADO NOVA EUROPA LTDA.;MG;89.950.407;2;26;2.000;330;3.459.631;44.975;272.577;13;17;13;77;1.000;44.975.204;
256;261;27.990.092/0001-50;SUPERMERCADO CALVI LTDA.;ES;89.270.418;2;25;2.300;208;3.570.817;38.813;429.185;8;9;13;92;1.150;44.635.209;
257;243;15.215.922/0001-93;COMERCIAL TATENO DELHIAUSE LTDA.;SP;89.000.000;4;25;3.600;139;3.560.000;24.722;640.288;6;4;6;144;900;22.250.000;
258;255;19.088.260/0001-99;COMERCIAL DE ALIMENTOS G.P. MAIS LTDA.;MS;88.589.614;4;28;3.400;220;3.163.915;26.056;402.680;8;6;7;121;850;22.147.404;
259;256;04.127.762/0001-04;SUPERMERCADO LEALDADE LTDA.;PE;85.350.704;2;35;1.700;262;2.438.592;50.206;325.766;7;15;18;49;850;42.675.352;
260;289;12.384.687/0001-95;SUPERMERCADO FORMENTON LTDA.;RS;85.218.537;4;33;2.900;218;2.582.380;29.386;390.911;7;8;8;88;725;21.304.634;
261;257;09.419.392/0001-00;G.A. GÓIS SUPERMERCADOS LTDA.;RN;85.000.000;4;44;3.900;280;1.931.818;21.795;303.571;6;7;11;89;975;21.250.000;
262;268;14.804.412/0001-99;SUPERMERCADO PAGUE POUCO LTDA.;AC;84.471.757;4;39;2.940;395;2.165.942;28.732;213.853;10;13;10;75;735;21.117.939;
263;281;78.516.440/0003-55;CRESTANI & FILHOS LTDA.;SC;84.024.602;4;46;5.740;243;1.826.622;14.638;345.780;5;4;12;125;1.435;21.006.151;
264;239;86.378.866/0001-56;SUPERMERCADOS SCHUTZE LTDA.;SC;83.753.162;2;40;5.500;240;2.093.829;15.228;348.972;6;4;20;138;2.750;41.876.581;
265;279;53.512.117/0001-10;OMOTE & CIA. LTDA.;SP;83.475.334;2;24;3.100;270;3.478.139;26.928;309.168;11;9;12;129;1.550;41.737.667;
266;278;10.342.260/0001-07;SUPERMERCADO NOVO COMÉRCIO DE ALIMENTOS LTDA.;RS;82.828.614;3;30;3.000;229;2.760.954;27.610;361.697;8;8;10;100;1.000;27.609.538;
267;284;83.349.563/0001-17;PORTUGAL COM. DE PROD. DESCARTÁVEIS - EIRELI.;PA;82.503.832;2;28;5.970;330;2.946.565;13.820;250.012;12;6;14;213;2.985;41.251.916;
268;novo;01.906.417/0001-80;SUPERMERCADO PREÇO IDEAL LTDA.;SP;82.000.000;2;15;2.100;135;5.466.667;39.048;607.407;9;6;8;140;1.050;41.000.000;
269;242;07.462.407/0001-80;M.P. DINARDI & CIA. LTDA.;SP;81.700.714;4;35;5.500;150;2.334.306;14.855;544.671;4;3;9;157;1.375;20.425.179;
270;267;05.314.561/0001-89;MERCANTIL BNH -EIRELI.;ES;81.000.000;2;34;2.800;240;2.382.353;28.929;337.500;7;9;17;82;1.400;40.500.000;
271;277;43.753.904/0001-09;COOPERATIVA DE CONSUMO DOS BANCÁRIOS DE ARAÇATUBA.;SP;80.268.208;1;22;2.476;220;3.648.555;32.419;364.855;10;9;22;113;2.476;80.268.208;
272;novo;71.216.113/0001-77;COMERCIAL FRAGA LTDA.;MG;79.968.694;1;15;650;250;5.331.246;123.029;319.875;17;38;15;43;650;79.968.694;
273;302;25.978.313/0001-40;SUPERMERCADO PIC LTDA.;MG;79.828.899;5;32;3.360;215;2.494.653;23.759;371.297;7;6;6;105;672;15.965.780;
274;novo;31.759.699/0003-63;COMERCIAL DEVENS LTDA.;ES;79.752.850;6;41;3.680;255;1.945.191;21.672;312.756;6;7;7;90;613;13.292.142;
275;260;94.002.136/0001-84;SUPERMERCADO CODEBAL LTDA.;RS;79.462.793;6;46;3.475;304;1.727.452;22.867;261.391;7;9;8;76;579;13.243.799;
276;280;03.660.705/0001-23;SUPERMERCADO BOM GOSTO DE AGUAÍ LTDA.;SP;79.450.891;7;42;4.250;210;1.891.688;18.694;378.338;5;5;6;101;607;11.350.127;
277;274;47.603.246/0001-11;MICHELASSI & CIA. LTDA.;SP;77.995.459;2;29;2.500;254;2.689.499;31.198;307.069;9;10;15;86;1.250;38.997.730;
278;264;87.042.875/0001-34;SUPERMERCADO COPETTI LTDA.;RS;77.875.198;4;31;2.800;224;2.512.103;27.813;347.657;7;8;8;90;700;19.468.800;
279;276;87.083.523/0001-27;DANILO ALBERTO TIZIANI & CIA. LTDA.;RS;77.361.832;1;15;2.500;120;5.157.455;30.945;644.682;8;5;15;167;2.500;77.361.832;
280;293;98.589.096/0001-70;LENZ & CIA. LTDA.;RS;76.954.109;3;34;4.800;238;2.263.356;16.032;323.337;7;5;11;141;1.600;25.651.370;
281;287;41.566.761/0001-92;SUPERMERCADO BARATÃO LTDA.;CE;76.611.410;3;27;4.546;252;2.837.460;16.852;304.014;9;6;9;168;1.515;25.537.137;
282;272;89.474.506/0001-46;SUPERMERCADO DALPIAZ LTDA.;RS;76.056.373;4;21;1.672;199;3.621.732;45.488;382.193;9;12;5;80;418;19.014.093;
283;288;34.392.043/0001-81;VIEIRA & MALTA LTDA. - CCB.;BA;75.969.562;11;45;4.580;330;1.688.212;16.587;230.211;7;7;4;102;416;6.906.324;
284;265;16.575.340/0001-80;CRUZEIRO DO SUL MERCADO LTDA.;RJ;75.805.448;2;26;2.100;180;2.915.594;36.098;421.141;7;9;13;81;1.050;37.902.724;
285;295;02.765.561/0001-07;SUPERMAGO COMÉRCIO LTDA.;RS;74.954.385;5;24;2.320;181;3.123.099;32.308;414.113;8;8;5;97;464;14.990.877;
286;286;83.731.927/0053-50;COOPERATIVA REGIONAL AURIVERDE.;SC;70.016.028;6;37;4.315;163;1.892.325;16.226;429.546;4;4;6;117;719;11.669.338;
287;269;02.492.634/0001-34;SUPERMERCADO SÃO JERÔNIMO - EIRELI.;MG;68.900.000;4;26;4.100;235;2.650.000;16.805;293.191;9;6;7;158;1.025;17.225.000;
288;299;83.054.924/0001-06;SUPERMERCADOS CEREAL LTDA.;SC;68.898.096;4;30;5.140;207;2.296.603;13.404;332.841;7;4;8;171;1.285;17.224.524;
289;298;73.734.428/0001-31;CORREIA ANDRADE SUPERMERCADOS LTDA.;BA;68.404.076;2;16;2.150;228;4.275.255;31.816;300.018;14;11;8;134;1.075;34.202.038;
290;290;27.457.498/0001-72;DALL'ORTO DALVI & CIA. LTDA.;ES;67.165.320;2;27;2.800;165;2.487.604;23.988;407.063;6;6;14;104;1.400;33.582.660;
291;303;02.003.591/0001-86;CENTRO COMERCIAL CONQUISTA LTDA.;GO;67.000.000;3;32;3.300;344;2.093.750;20.303;194.767;11;10;11;103;1.100;22.333.333;
292;297;50.830.587/0001-34;J.A. DUARTE & CIA. LTDA.;SP;67.000.000;4;28;3.300;186;2.392.857;20.303;360.215;7;6;7;118;825;16.750.000;
293;372;07.921.126/0001-48;COMÉRCIO DE GENÊROS ALIMENTÍCIOS SCAA LTDA.;PR;66.573.000;4;26;3.500;100;2.560.500;19.021;665.730;4;3;7;135;875;16.643.250;
294;283;91.589.507/0001-88;COOPERATIVA AGROPECUÁRIA PETRÓPOLIS LTDA.;RS;66.440.215;5;29;3.245;165;2.291.042;20.475;402.668;6;5;6;112;649;13.288.043;
295;novo;07.603.552/0001-33;ORGANIZAÇÕES SUPER COMPRA LTDA.;MG;65.772.306;6;35;5.300;240;1.879.209;12.410;274.051;7;5;6;151;883;10.962.051;
296;368;02.058.168/0001-83;DEITOS E DEITOS LTDA.;RS;65.760.000;2;17;1.600;111;3.868.235;41.100;592.432;7;7;9;94;800;32.880.000;
297;294;33.768.854/0001-71;SUPERMERCADOS THOMÉ - EIRELI.;MS;65.614.728;2;30;2.700;177;2.187.158;24.302;370.705;6;7;15;90;1.350;32.807.364;
298;291;03.451.716/0001-01;PARMA COMERCIAL LTDA.;ES;65.541.524;6;61;4.400;344;1.074.451;14.896;190.528;6;8;10;72;733;10.923.587;
299;novo;18.201.694/0001-90;MAKRO CHUI SUPERMERCADO - EIRELI.;RS;65.000.000;3;28;5.000;240;2.321.429;13.000;270.833;9;5;9;179;1.667;21.666.667;
300;356;89.716.211/0001-39;SUPERMERCADO KERN - EIRELI.;RS;64.536.226;3;26;2.780;174;2.482.163;23.214;370.898;7;6;9;107;927;21.512.075;
Total  300 Maiores;;;;;351.771.924.824;7.550;57.028;11.300.505;720.940;6.168.407;31.129;487.935;13;6;8;198;1.497;46.592.308;
301;304;03.475.318/0001-17;SUPERMERCADO MONTEALEGRENSE LTDA.;RN;64.374.278;4;28;2.200;270;2.299.081;29.261;238.423;10;12;7;79;550;16.093.570;
302;341;05.154.589/0001-04;OLIVEIRA E NOBRE SUPERMERCADO LTDA.;AL;64.070.717;3;25;3.100;235;2.562.829;20.668;272.641;9;8;8;124;1.033;21.356.906;
303;332;03.450.467/0001-21;SIGNORI SUPERMERCADO S.A.;MS;63.359.039;2;22;4.800;144;2.879.956;13.200;439.993;7;3;11;218;2.400;31.679.520;
304;282;97.225.346/0001-20;COOP TRITÍCOLA SEPEENSE LTDA.;RS;63.318.840;4;36;4.327;229;1.758.857;14.633;276.501;6;5;9;120;1.082;15.829.710;
305;307;90.657.289/0002-90;COOPERATIVA AGRÍCOLA MISTA GENERAL OSÓRIO LTDA.;RS;63.285.785;4;27;3.900;200;2.343.918;16.227;316.429;7;5;7;144;975;15.821.446;
306;311;71.557.953/0001-01;COMÉRCIO DE ALIMENTOS SÃO MIGUEL LTDA.;SP;63.000.000;5;19;1.800;84;3.315.789;35.000;750.000;4;5;4;95;360;12.600.000;
307;novo;00.745.343/0001-85;C.M.R. COMÉRCIO DE ALIMENTOS LTDA. -  REDE LITORAL.;SP;62.940.503;2;15;1.700;164;4.196.034;37.024;383.784;11;10;8;113;850;31.470.252;
308;308;79.657.540/0001-00;COMÉRCIO DOIS IRMÃOS S.R. LTDA. - ME.;SC;62.503.705;1;18;3.706;150;3.472.428;16.866;416.691;8;4;18;206;3.706;62.503.705;
309;305;15.646.763/0001-81;ROBERTO ALMEIDA DOS SANTOS & CIA. LTDA.;BA;61.705.389;2;23;2.045;150;2.682.843;30.174;411.369;7;7;12;89;1.023;30.852.695;
310;300;10.695.211/0001-40;GERALDO PAIVA DOS SANTOS JÚNIOR.;RN;61.031.643;2;23;2.100;210;2.653.550;29.063;290.627;9;10;12;91;1.050;30.515.822;
311;292;77.164.085/0001-78;SUPERMERCADOS TISSI LTDA.;PR;61.000.000;5;40;4.640;215;1.525.000;13.147;283.721;5;5;8;116;928;12.200.000;
312;296;22.102.222/0001-58;SUPERMERCADO FARNEZE  ALVES LTDA.;MG;60.875.711;3;27;3.300;210;2.254.656;18.447;289.884;8;6;9;122;1.100;20.291.904;
313;313;08.772.290/0001-01;F.L.V. COMÉRCIO DE HORTIFRUTO LTDA.;SP;60.000.000;1;13;700;190;4.615.385;85.714;315.789;15;27;13;54;700;60.000.000;
314;306;46.473.120/0001-07;L. F. GODOY & CIA LTDA.;SP;59.879.352;1;19;1.500;160;3.151.545;39.920;374.246;8;11;19;79;1.500;59.879.352;
315;335;20.841.144/0001-88;SUPERMERCADO SILVEIRA LTDA.;MG;59.155.266;4;24;3.000;230;2.464.803;19.718;257.197;10;8;6;125;750;14.788.817;
316;318;04.127.280/0001-54;SUPERMERCADO ROMANCINI LTDA. - ME.;MT;59.000.000;2;20;1.800;190;2.950.000;32.778;310.526;10;11;10;90;900;29.500.000;
317;347;02.200.345/0001-14;CASA DELIZA LTDA.;SP;58.589.398;3;11;1.800;98;5.326.309;32.550;597.851;9;5;4;164;600;19.529.799;
318;novo;03.541.629/0001-37;ORGANIZAÇÕES MARQUES CENTER LTDA.;MG;58.540.463;3;32;5.000;315;1.829.389;11.708;185.843;10;6;11;156;1.667;19.513.488;
319;312;05.956.109/0001-10;PEDRALLI E PEDRALLI SUPERMERCADO LTDA.;RS;58.316.512;1;14;1.601;150;4.165.465;36.425;388.777;11;9;14;114;1.601;58.316.512;
320;315;89.944.912/0001-25;CENTRO DE COMPRAS ZALESKI LTDA.;RS;58.254.714;2;17;2.300;162;3.426.748;25.328;359.597;10;7;9;135;1.150;29.127.357;
321;301;00.364.710/0001-09;MAURÍLIO MARIN & CIA. LTDA.;SC;58.232.123;2;28;2.952;160;2.079.719;19.726;363.951;6;5;14;105;1.476;29.116.062;
322;317;05.015.082/0001-61;SUPERMERCADO BOTELHO LTDA.;SP;58.000.000;1;14;1.700;130;4.142.857;34.118;446.154;9;8;14;121;1.700;58.000.000;
